Country,Cases,Deaths,Category,Asof
Russia,2,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Vietnam,2,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Bermuda,1,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Barbados,1,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Guadeloupe,1,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Indonesia,1,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Iran,1,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Jordan,1,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Saint Martin,1,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
Mozambique,1,1,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
New Caledonia,1,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
San Marino,1,0,Has not historically reported mpox,Data as of 21 Jun 2023 5:30 PM EDT
